,Open,High,Low,Close,Volume
2020-01-02,304.0,305.0,302.5,302.5,495417
2020-01-03,305.0,305.5,302.5,305.5,637247
2020-01-06,305.0,305.5,304.0,304.0,434372
2020-01-07,303.5,305.0,303.5,304.0,590803
2020-01-08,303.5,305.5,302.0,303.5,877256
2020-01-09,303.5,306.5,303.5,306.5,422102
2020-01-10,308.0,308.5,307.5,308.5,545279
2020-01-13,308.5,310.0,308.0,310.0,631289
2020-01-14,310.0,311.5,309.5,310.5,900278
2020-01-15,310.5,310.5,306.5,309.5,804636
2020-01-16,310.0,310.0,306.5,309.5,973450
2020-01-17,309.5,310.0,307.5,310.0,638972
2020-01-20,310.0,310.0,307.0,308.0,795105
2020-01-30,309.5,309.5,297.0,298.5,2618393
2020-01-31,298.5,301.5,298.5,298.5,1594065
2020-02-03,298.5,304.0,298.0,300.0,1251038
2020-02-04,298.0,300.5,295.5,299.0,886899
2020-02-05,301.0,304.5,300.5,304.0,918203
2020-02-06,304.0,306.0,303.0,304.5,585038
2020-02-07,302.0,304.0,301.0,304.0,389298
2020-02-10,304.0,305.5,300.5,305.5,813098
2020-02-11,305.5,305.5,303.0,303.5,326281
2020-02-12,303.5,305.0,302.0,302.5,1145669
2020-02-13,302.5,305.5,302.0,303.5,826762
2020-02-14,305.0,306.0,304.5,306.0,478775
2020-02-17,305.5,308.5,305.0,308.0,503127
2020-02-18,308.0,309.5,307.0,309.0,480278
2020-02-19,308.5,310.5,308.0,308.0,584698
2020-02-20,309.0,310.0,306.0,308.0,606029
2020-02-21,305.5,308.0,304.0,304.0,709930
2020-02-24,300.0,300.5,296.0,296.0,2379261
2020-02-25,295.0,300.5,295.0,300.0,788272
2020-02-26,295.0,298.0,295.0,297.0,1173408
2020-02-27,296.5,298.5,295.5,296.5,1763922
2020-03-02,295.0,296.0,292.5,295.0,2445230
2020-03-03,296.0,297.0,294.0,295.0,1747352
2020-03-04,294.5,298.5,294.0,297.5,1287674
2020-03-05,298.0,302.5,298.0,302.5,1011926
2020-03-06,300.5,300.5,295.5,296.5,1408178
2020-03-09,291.0,296.0,290.0,293.0,1550364
2020-03-10,290.5,293.0,287.0,291.0,2711875
2020-03-11,289.5,292.0,289.0,291.0,1283312
2020-03-12,289.0,289.0,284.5,286.5,2387255
2020-03-13,272.5,275.5,260.0,273.5,4401378
2020-03-16,273.5,274.0,271.0,274.0,2292792
2020-03-17,274.0,287.5,271.0,286.5,3684480
2020-03-18,285.0,290.0,281.0,283.5,3064088
2020-03-19,278.0,291.0,277.0,286.5,3873600
2020-03-20,286.5,288.5,281.0,281.0,3630716
2020-03-23,276.0,279.0,260.5,265.0,4536207
2020-03-24,276.0,276.0,265.0,267.0,3026118
2020-03-25,265.5,272.5,265.5,272.5,3182142
2020-03-26,273.5,279.5,271.0,278.5,2225737
2020-03-27,279.0,280.5,278.0,278.0,1448661
2020-03-30,275.0,280.0,272.0,277.0,1426796
2020-03-31,278.0,283.5,276.5,283.0,2157626
2020-04-01,282.5,284.5,280.0,282.0,1167763
2020-04-06,288.0,288.0,276.0,281.5,2725520
2020-04-07,283.5,287.0,282.0,287.0,1516320
2020-04-08,285.5,289.0,285.0,289.0,1347635
2020-04-09,288.0,291.0,286.0,290.0,990721
2020-04-10,288.5,289.5,288.0,288.0,625110
2020-04-13,286.5,290.0,286.0,289.5,393873
2020-04-14,289.5,295.0,289.5,291.5,1154180
2020-04-15,292.0,293.0,289.5,290.0,1297937
2020-04-16,287.5,288.5,286.0,286.5,1278937
2020-04-17,289.0,292.5,286.0,287.0,1695667
2020-04-20,287.0,288.0,285.5,286.5,1465113
2020-04-21,286.5,290.0,282.0,284.0,1834837
2020-04-22,283.0,283.5,278.5,283.0,859874
2020-04-23,282.0,288.0,282.0,287.5,1817900
2020-04-24,287.5,289.0,287.0,288.0,1063967
2020-04-27,290.0,294.0,288.5,294.0,1808527
2020-04-28,294.0,299.5,294.0,299.5,1575904
2020-04-29,300.0,309.0,300.0,304.5,2609272
2020-04-30,305.5,310.0,305.5,308.0,2829690
2020-05-04,298.0,307.0,294.0,301.5,2180438
2020-05-05,302.0,308.0,302.0,307.5,1251128
2020-05-06,306.0,308.0,303.0,305.5,1553608
2020-05-07,304.5,305.0,301.5,303.0,1423295
2020-05-08,304.0,306.5,300.5,305.0,950295
2020-05-11,305.0,307.0,304.5,304.5,441356
2020-05-12,303.0,304.5,302.0,304.0,781078
2020-05-13,306.0,307.0,303.5,305.0,1015015
2020-05-14,305.0,305.5,301.5,302.5,731951
2020-05-15,304.0,304.5,300.0,300.0,1194967
2020-05-18,298.0,302.0,297.5,301.5,579815
2020-05-19,304.5,304.5,299.0,300.5,941364
2020-05-20,302.0,302.5,298.0,298.0,835277
2020-05-21,300.0,302.5,298.5,302.5,988975
2020-05-22,301.5,302.0,299.0,299.5,719991
2020-05-25,300.5,300.5,297.5,298.5,504884
2020-05-26,300.0,303.0,299.0,300.0,740045
2020-05-27,300.0,301.0,298.0,299.0,704012
2020-05-28,299.0,300.5,296.5,298.0,1005972
2020-05-29,296.0,298.0,294.0,295.5,3771137
2020-06-01,295.5,299.5,295.5,297.0,1084183
